gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NDUFS8,145.90405,0.17013389931055067,0.20514382239670417,1.5662546000092354,0.11728902493615787,0.43692931411238417
NDUFV1,91.63283,0.061325227482993475,0.18372664595184657,0.6678361591428111,0.5042381823858147,0.7998827682109267
NDUFV2,257.18256,0.3746771610426027,0.17459122193093263,2.8243537350564747,0.004737606614455779,0.07268192248472977
NDUFV3,100.5175,0.058676497619092376,0.18213170723220617,0.6409253864693965,0.521571161147464,0.810126336577826
NECAP1,242.21205,-0.0825375427597207,0.18385379935186535,-0.8692223718711437,0.3847255130601618,0.7230366062676618
NECAP2,143.76505,-0.018018865274883257,0.12699158554894074,-0.20360118473232972,0.8386651672539707,0.9485317430624676
NECTIN3,12.149086,0.0324747627872241,0.2654720925326345,0.5713390381580812,0.5677698440772294,0.8334986163479498
NEDD1,49.2106,-0.04950383555881796,0.2054064076308262,-0.5856661437382068,0.5580998898956475,0.8292585024425002
NEDD4,690.9005,-0.09152460998185423,0.10103897408617038,-1.1259611083463992,0.2601819816128469,0.6247553713372069
NEDD4L,34.812126,-0.16113356222887557,0.2681435236268617,-1.6295392830265953,0.10319890592415529,0.41146285178768904
NEDD8,324.25394,0.06622588368784091,0.13757951039638266,0.7165670460889573,0.47364128414775,0.7833298160905097
NEDD9,65.661385,-0.013395191075787714,0.18374906938173172,-0.15451872176297185,0.8772007506595593,0.9628186813638744
NEFL,10.587066,0.014015986670136135,0.28968302568475723,0.4640635504975333,0.6426022152088529,0.8703525512772775
NEIL1,26.693735,0.010227913559451882,0.2223081820323073,0.136964683196229,0.8910587107051419,0.9672811332774574
NEIL2,21.41136,0.006411892476667849,0.2351599114686906,0.09483352106082914,0.9244470608925781,0.9793390541112339
NEK1,98.94128,-0.7461486182984889,0.2548310890420391,-3.593490680463659,0.00032627732416270897,0.012909664772764827
NEK4,31.776663,0.039011970698808664,0.21859388007540145,0.49169411122290685,0.6229356018234339,0.8622201364800262
NEK5,19.996332,-0.009431411127789922,0.23048124852931712,-0.13997504976728847,0.8886797036883485,0.9666145078479099
NEK7,46.746277,-0.17075320514922027,0.2746517419164845,-1.6735584899257123,0.09421740233833244,0.3951738366516273
NEK8,81.505,-0.311648797826133,0.23925821302752923,-2.2176032059139086,0.026581899116407022,0.20611866036164792
NEK9,252.48592,-0.3855106580923405,0.21211557039898585,-2.6037868603456182,0.009220007456765853,0.11050666885808819
NELFA,41.231667,0.09932060937921061,0.22948832228849267,1.1075993645129911,0.2680348780160793,0.6314627440876887
NELFB,41.84493,0.07854757509455852,0.2196544168861433,0.9030424481399114,0.36650336673121875,0.7101939677067349
NELFCD,116.05531,0.4258827895675459,0.22037963544527808,2.7299248745216533,0.006334875982880876,0.08707651141149209
NELFE-1,12.645645,0.04054587873117973,0.26714769173621805,0.6915121383862831,0.48924375526899844,0.7916452367173376
NELL2,77.592155,-0.14782614849844886,0.2664606918524526,-1.5647098209978794,0.11765096464951955,0.43692931411238417
NEMF,211.1179,-0.14426950408889636,0.4549640411496532,-1.546738741145793,0.12192625719023249,0.4433235657447074
NEMP1,12.565709,-0.12095650116797169,0.2634823571937294,-1.3871154524642133,0.16540656083127525,0.5134906539410055
NEMP2,20.82646,-0.14426950408889636,0.4549639166882954,-1.4976467679429397,0.13422504900134574,0.46588188100660993
NENF,83.843376,0.07011609964661994,0.2077386531257381,0.7917659719877093,0.42849714695955277,0.7531313475091419
NEO1,10.207997,-0.09577396288189953,0.2744014709103072,-1.5647918693877714,0.11763171880366191,0.43692931411238417
NEPRO,48.63453,0.05920964697771833,0.19737153093203944,0.6593881481535375,0.5096465508292662,0.8031776477251771
NET1,13.439351,0.6307666230892897,0.5344947315307294,2.562295352667562,0.010398284849278674,0.11851539117370634
NETO2,73.0585,-0.32441079938424355,0.23390263376254267,-2.2768010700792334,0.022798107602998975,0.18936729407183078
NEU3,13.652916,0.033377216697022385,0.24899492146115013,0.5102330355032884,0.6098882106093058,0.855207750923115
NEXN,13.173208,0.03582915311040032,0.2588506448304436,0.595899359484619,0.5512424611541786,0.8272873808729048
NF1,105.45567,-0.03938573127511109,0.19243453949743272,-0.4588064988457791,0.6463731274544089,0.8720631105039145
NF2,30.769833,-0.02668447249035309,0.21481725707839347,-0.34294666547715097,0.7316385842541336,0.9069979442576007
NFASC,12.611667,-0.08511456012070229,0.2615369696104685,-1.2382291889442605,0.21563109139859704,0.5760180393069387
NFAT5,83.80543,-0.2636066081105014,0.1772040365189238,-2.1811381906939196,0.029173196835503176,0.217087970187183
NFATC1,34.33406,0.02298194672898484,0.20162237541857392,0.2711602087373299,0.786267815631259,0.9283902064517056
NFATC2,67.154655,-0.5098007833072618,0.27733899915026183,-2.753458630874373,0.005896922236900383,0.08243959883957547
NFATC2IP,151.32593,-0.10349445083232507,0.11280187636401898,-1.1910368114885466,0.23363913398760983,0.5950192922846471
NFATC3,126.55216,-0.33958388739630874,0.2923919693900862,-2.246867393578604,0.02464850311048087,0.19821663320530442
NFE2L1,25.465776,0.011360519129478264,0.22710954824368418,0.15712254381638419,0.8751482708545798,0.9622432320076529
NFE2L2,141.89339,-0.2260641495005149,0.2508792605117426,-1.857298843175356,0.06326864891734796,0.3197540362476556
NFIA,62.37681,-0.0714384989371419,0.21398351039245828,-0.8444146695570527,0.39843772780999054,0.7337160622573012
NFIC,71.20603,-0.06322178418331925,0.20616542167707902,-0.7386604008333125,0.46011323716840646,0.774120993690289
NFIL3,21.372133,-0.02345733429164545,0.2495464028637917,-0.5338925945214047,0.5934158459253152,0.8450917329545408
NFKB1,184.58482,-0.14588452899306326,0.2269554875897568,-1.4222294706126184,0.1549596460215665,0.49821364505124766
NFKB2,142.23051,-0.5518003367252775,0.25094432183279414,-3.0106005374394056,0.0026073161579459134,0.05166914528712731
NFKBIA,1806.9885,-1.2046855484370904,0.42192100758984624,-3.6364107718937815,0.00027646334682470753,0.011480317353147739
NFKBIB,93.854965,-0.22628768332165738,0.2163700868134316,-1.8759348328741354,0.0606642288517648,0.31406565444351464
NFKBID,59.839725,-1.8383312398493301,0.33217231829425753,-5.896840148612995,3.705284945346103e-09,2.268070302427738e-06
NFKBIE,22.841238,-0.043911223431498454,0.24457819764121594,-0.7530571238391589,0.45141558798330583,0.7671779533813948
NFKBIZ,386.4365,-0.5382450116664347,0.23728602325785433,-3.061064238926145,0.0022055176985871666,0.046178304168004135
NFRKB,31.711018,-0.0018377740858986974,0.21090262682041275,-0.023603803252652246,0.9811686384406968,0.9933716921036364
NFS1,12.1460285,0.03741871072016541,0.241467652674677,0.5077539305352804,0.6116259218523197,0.8560346688575554
NFU1,50.541843,0.32444935856785245,0.3336729963434889,2.237492824148975,0.025254147802031737,0.20045359422421227
NFX1,48.7847,-0.006104592545882314,0.1988899604456832,-0.07401486808385245,0.9409985546906561,0.9821973143746419
NFXL1,19.244595,-0.029971243454504692,0.22815592288724992,-0.41010135003107867,0.6817316024236595,0.8860978084962029
NFYA,18.86999,-0.032002202752089814,0.24494363278012676,-0.5537009489873541,0.5797835257052291,0.8393949135324581
NFYB,29.160065,0.05784069484474228,0.26252361658895695,0.8787490705661793,0.3795373459352297,0.7192335339458208
NFYC,38.982124,-0.14426950408889636,0.45496398391897014,0.9409336060833898,0.34673888449678925,0.6954565346180759
NGDN,83.05242,-0.011586855691549524,0.19612932064211694,-0.13882000545140186,0.889592384986336,0.9668393575827234
NGLY1,98.27201,-0.018998209880066015,0.17418666323120993,-0.21618111339056792,0.8288465748055307,0.9455025967350654
