,ensembl_gene_id,external_gene_name
376,ENSG00000217179,MTCYBP2
377,ENSG00000217896,ZNF839P1
378,ENSG00000185275,CD24P4
379,ENSG00000252766,RNU6-255P
380,ENSG00000274282,
381,ENSG00000234529,GAPDHP19
382,ENSG00000238191,CLUHP1
383,ENSG00000226353,TAF9P1
384,ENSG00000275578,
385,ENSG00000226449,CDY5P
386,ENSG00000225896,ELOCP36
387,ENSG00000224166,PRYP1
388,ENSG00000229129,ACTG1P2
389,ENSG00000223555,USP9YP23
390,ENSG00000235521,USP9YP27
391,ENSG00000252513,RNU1-128P
392,ENSG00000224964,TRAPPC2P3
393,ENSG00000226011,OFD1P1Y
394,ENSG00000225740,ELOCP6
395,ENSG00000229138,CDY6P
396,ENSG00000224485,USP9YP7
397,ENSG00000226116,USP9YP6
398,ENSG00000237558,CDY7P
399,ENSG00000233378,USP9YP34
400,ENSG00000237616,USP9YP32
401,ENSG00000224033,CDY8P
402,ENSG00000230412,ELOCP12
403,ENSG00000225895,TRAPPC2P8
404,ENSG00000233120,USP9YP15
405,ENSG00000252166,RNU1-95P
406,ENSG00000232744,USP9YP16
407,ENSG00000229465,ACTG1P11
408,ENSG00000231311,PRYP2
409,ENSG00000236599,ELOCP26
410,ENSG00000232899,CDY9P
411,ENSG00000229302,TAF9P2
412,ENSG00000228945,CLUHP2
413,ENSG00000233522,FAM224A
414,ENSG00000278391,
415,ENSG00000251953,RNA5SP522
416,ENSG00000252667,RNA5SP523
417,ENSG00000249726,TUBB1P1
418,ENSG00000226362,FAM41AY2
419,ENSG00000225716,ELOCP13
420,ENSG00000229406,OFD1P4Y
421,ENSG00000227494,USP9YP14
422,ENSG00000252209,RNU1-48P
423,ENSG00000249634,USP9YP5
424,ENSG00000251510,
425,ENSG00000238067,XKRYP1
426,ENSG00000233546,PRYP5
427,ENSG00000230377,ELOCP7
428,ENSG00000250951,USP9YP1
429,ENSG00000230458,GPM6BP1
430,ENSG00000131007,TTTY9B
431,ENSG00000235479,RAB9AP4
432,ENSG00000249606,TRAPPC2P7
433,ENSG00000176728,TTTY14
434,ENSG00000267793,
435,ENSG00000260197,
436,ENSG00000288049,
437,ENSG00000012817,KDM5D
438,ENSG00000284767,MIR3649
439,ENSG00000285070,ADIPOR2
440,ENSG00000285310,
441,ENSG00000285682,
442,ENSG00000284817,RPS4XP14
443,ENSG00000284953,CACNA2D4
444,ENSG00000286298,
445,ENSG00000285383,LRTM2
446,ENSG00000285149,
447,ENSG00000285233,LINC00940
448,ENSG00000284850,DCP1B
449,ENSG00000285355,
450,ENSG00000285291,CACNA1C-IT1
451,ENSG00000285324,
452,ENSG00000285107,CACNA1C-AS4
453,ENSG00000284775,CACNA1C-IT3
454,ENSG00000285924,
455,ENSG00000172468,HSFY1
456,ENSG00000285983,
457,ENSG00000284942,CACNA1C-AS3
458,ENSG00000284759,
459,ENSG00000285101,CACNA1C-AS2
460,ENSG00000285335,CACNA1C-AS1
461,ENSG00000176679,TGIF2LY
462,ENSG00000169800,RBMY1F
463,ENSG00000285479,CACNA1C
464,ENSG00000182415,CDY2A
465,ENSG00000233126,ZNF736P3Y
466,ENSG00000227251,TRIM60P9Y
467,ENSG00000099725,PRKY
468,ENSG00000252633,RN7SKP282
469,ENSG00000251996,Y_RNA
470,ENSG00000252155,RNU6-941P
471,ENSG00000252472,RNU6-521P
472,ENSG00000224953,SRIP3
473,ENSG00000274365,
474,ENSG00000233634,GOT2P5
475,ENSG00000237701,ATP5PFP1
476,ENSG00000273906,
477,ENSG00000232976,TRIM60P10Y
478,ENSG00000226270,ZNF736P2Y
479,ENSG00000227837,TRIM60P11Y
480,ENSG00000278602,
481,ENSG00000223978,ZNF736P1Y
482,ENSG00000278197,
483,ENSG00000230819,ZNF736P5Y
484,ENSG00000185894,BPY2C
485,ENSG00000228296,TTTY4C
486,ENSG00000205916,DAZ4
487,ENSG00000129873,CDY2B
488,ENSG00000251841,RNU6-1334P
489,ENSG00000184895,SRY
490,ENSG00000237659,RNASEH2CP1
491,ENSG00000232195,TOMM22P2
492,ENSG00000286130,
493,ENSG00000129824,RPS4Y1
494,ENSG00000229163,NAP1L1P2
495,ENSG00000278847,
496,ENSG00000067646,ZFY
497,ENSG00000233070,ZFY-AS1
498,ENSG00000223600,EEF1A1P41
499,ENSG00000215414,PSMA6P1
500,ENSG00000224035,SFPQP1
501,ENSG00000223915,DPPA2P1
502,ENSG00000067048,DDX3Y
503,ENSG00000280963,SERTAD4-AS1
504,ENSG00000281230,SERTAD4
505,ENSG00000281067,ST13P19
506,ENSG00000281552,
507,ENSG00000280680,HHAT
508,ENSG00000287371,
509,ENSG00000281499,RNU5A-8P
510,ENSG00000287648,
511,ENSG00000280937,BPNT2P1
512,ENSG00000234059,CASKP1
513,ENSG00000183878,UTY
514,ENSG00000154620,TMSB4Y
515,ENSG00000129864,VCY
516,ENSG00000187191,DAZ3
517,ENSG00000188120,DAZ1
518,ENSG00000285111,
519,ENSG00000284831,BRD7P1
520,ENSG00000285274,
